Query,Precision@10,Recall@10,Recall@50,MRR,NDCG@10,Total Relevant Found (top 10),Total Relevant Found (top 50),Total Relevant Exist,Top Match,Category
Senior Python Developer with Flask and AWS cloud experience,0.6,0.0033482142857142855,0.024553571428571428,1.0,0.6936634693435663,6,44,1792,Python Engineer,Technology
Junior Software Engineer with React and JavaScript skills,0.8,0.0009537434430138292,0.004291845493562232,1.0,0.8603818544462509,8,36,8388,"React, HTML/CSS programmer",Technology
Full Stack Developer with Node.js and MongoDB experience,0.8,0.005780346820809248,0.030346820809248554,1.0,0.8389574121760602,8,42,1384,Mid Level Software Engineer,Technology
"DevOps Engineer with Kubernetes, Docker, and CI/CD pipeline expertise",1.0,0.0013201320132013201,0.005808580858085809,1.0,1.0,10,44,7575,DevOps Senior Leader,Technology
Data Scientist specializing in machine learning and TensorFlow,0.9,0.011568123393316195,0.055269922879177376,1.0,0.9266360779006401,9,43,778,Machine Learning Engineer (Artificial Intelligence),Technology
Project Manager for construction and infrastructure projects,1.0,0.0009339684318670029,0.004576445316148314,1.0,1.0,10,49,10707,Project Manager,Business/Management
Account Executive with B2B sales experience in technology sector,1.0,0.0004709650072999576,0.002354825036499788,1.0,1.0,10,50,21233,Corporate Sales Executive,Business/Management
Business Analyst with data analysis and SQL skills,1.0,0.002101281781886951,0.010506408909434755,1.0,1.0,10,50,4759,Business Analyst,Technology
Operations Manager for supply chain and logistics,1.0,0.0011304544426859599,0.005200090436355415,1.0,1.0,10,46,8846,Logistics Operations Manager,Business/Management
Product Manager with agile methodology experience,1.0,0.00116918040453642,0.005027475739506606,1.0,1.0,10,43,8553,Product Manager,Business/Management
Accountant with CPA certification and financial reporting experience,0.8,0.002126528442317916,0.010101010101010102,1.0,0.8364586133797037,8,38,3762,Finance Officer,Finance/Accounting
Financial Analyst with Excel and financial modeling skills,0.6,0.0009612303748798462,0.006087792374239026,0.25,0.4673791184803734,6,38,6242,"Senior Executive/Assistant Manager, Client Coverage",Business/Management
